"title","body","labels","milestone"
"[SEC-01] Add unified auth middleware for execution APIs","Scope: enforce auth on /v1/jobs/*, /v1/workers/*, /v1/interrupts/*. DoD: missing credential returns 401; invalid credential returns 401; valid credential passes baseline API tests.","area/security,type/feature,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[SEC-02] Implement API key authentication","Scope: support key_id, hashed secret storage, key active/disabled state, and rotation-friendly model. DoD: disabled key is rejected immediately with 401 and covered by tests.","area/security,type/feature,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[SEC-03] Implement JWT authentication with JWKS","Scope: validate iss/aud/exp and cache JWKS for runtime verification. DoD: expired token and wrong audience are rejected; JWKS cache behavior is observable.","area/security,type/feature,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[SEC-04] Introduce minimum RBAC model","Scope: define admin/operator/worker roles and route-level permission matrix. DoD: unauthorized role access returns 403 and matrix is covered by automated tests.","area/security,type/feature,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[SEC-05] Persist audit logs for control-plane operations","Scope: record actor, action, resource, result, request_id, and timestamp for run/resume/replay/cancel/reject. DoD: 100 percent of key control actions produce durable audit entries.","area/security,area/runtime,type/feature,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[SEC-06] Add security regression test suite","Scope: add tests for auth bypass, privilege escalation, request_id spoof handling, and replay resistance baseline. DoD: CI has a dedicated security job and it is required for merge.","area/security,type/test,priority/P0,sprint/1","Sprint 1 (2026-03-02 ~ 2026-03-08)"
"[DB-01] Complete PostgreSQL RuntimeRepository parity","Scope: implement PostgreSQL RuntimeRepository to match SQLite contract and semantics. DoD: same runtime repository test suite passes on sqlite and postgres backends.","area/storage,type/feature,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)"
"[DB-02] Harden lease/attempt/interrupt transaction logic on PostgreSQL","Scope: enforce transaction boundaries and conflict handling for dispatch and ownership flows. DoD: concurrency tests show no double-dispatch and no inconsistent lease ownership.","area/storage,area/scheduler,type/feature,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)"
"[DB-03] Introduce schema migration workflow","Scope: add schema versioning with forward migrations and documented rollback path. DoD: clean init and incremental upgrade are repeatable in CI and local environments.","area/storage,type/feature,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)"
"[DB-04] Add backend selection and startup health checks","Scope: allow runtime backend selection via config and fail fast on invalid DSN or missing schema. DoD: startup emits actionable error and exits non-zero for bad backend config.","area/storage,area/runtime,type/feature,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)"
